SOC,TN,TP,C/N,C/P,N/P,MBC,MBN,MBC/MBN,qMBC
14.04 ,1.22 ,0.65 ,7.83 ,21.64 ,1.89 ,1125.51 ,63.10 ,17.84 ,0.080148388
13.47 ,1.16 ,0.66 ,7.71 ,20.33 ,1.76 ,1226.93 ,67.70 ,18.12 ,0.091114233
12.82 ,1.18 ,0.64 ,8.40 ,20.12 ,1.86 ,1245.88 ,70.48 ,17.68 ,0.097156795
20.16 ,1.99 ,1.15 ,4.28 ,17.59 ,1.74 ,1015.90 ,77.37 ,21.12 ,0.08103567
20.74 ,1.95 ,1.14 ,4.60 ,18.24 ,1.72 ,971.93 ,82.10 ,20.05 ,0.079371652
21.22 ,2.01 ,1.16 ,5.64 ,18.32 ,1.73 ,993.92 ,79.74 ,20.57 ,0.077296792
26.28 ,2.39 ,1.42 ,3.71 ,18.47 ,1.68 ,1633.92 ,87.01 ,21.08 ,0.069804328
25.71 ,2.34 ,1.46 ,3.78 ,17.61 ,1.60 ,1646.36 ,78.11 ,25.23 ,0.076669187
30.56 ,2.65 ,1.39 ,4.58 ,22.03 ,1.91 ,1640.14 ,82.56 ,23.05 ,0.062264188
25.79 ,2.54 ,1.74 ,3.56 ,14.86 ,1.47 ,946.47 ,46.17 ,34.48 ,0.059056834
25.45 ,2.49 ,1.71 ,3.62 ,14.84 ,1.45 ,1004.46 ,42.48 ,35.86 ,0.065271993
25.09 ,2.46 ,1.73 ,3.79 ,14.49 ,1.42 ,1094.63 ,49.87 ,33.31 ,0.063444812
12.37 ,1.16 ,0.67 ,10.70 ,18.50 ,1.73 ,1834.37 ,58.29 ,17.43 ,0.082131176
12.76 ,1.20 ,0.71 ,10.64 ,18.03 ,1.69 ,1970.94 ,55.02 ,17.66 ,0.076155609
13.35 ,1.28 ,0.69 ,10.47 ,19.22 ,1.84 ,1902.66 ,52.24 ,19.03 ,0.07443986
16.60 ,1.53 ,1.02 ,10.83 ,16.26 ,1.50 ,1442.82 ,55.38 ,17.09 ,0.05701155
15.73 ,1.56 ,1.03 ,10.09 ,15.33 ,1.52 ,1501.50 ,56.85 ,17.67 ,0.06384253
17.69 ,1.61 ,1.08 ,10.98 ,16.33 ,1.49 ,1384.15 ,58.32 ,18.77 ,0.06189381
14.88 ,1.25 ,1.00 ,11.93 ,14.82 ,1.24 ,1523.15 ,62.37 ,23.13 ,0.096975189
14.27 ,1.30 ,1.03 ,10.95 ,13.87 ,1.27 ,1661.09 ,64.54 ,23.26 ,0.105203786
15.12 ,1.37 ,1.05 ,11.07 ,14.39 ,1.30 ,1592.12 ,60.19 ,22.99 ,0.091518039
13.57 ,1.22 ,1.01 ,11.13 ,13.37 ,1.20 ,562.01 ,19.61 ,28.66 ,0.04140755
13.92 ,1.35 ,0.99 ,10.33 ,14.02 ,1.36 ,612.07 ,17.32 ,29.56 ,0.043967981
14.23 ,1.22 ,0.94 ,11.65 ,15.20 ,1.31 ,512.01 ,21.90 ,27.95 ,0.03598252
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
